categorie,name,energieKcal,proteines,glucides,sucres,lipides,agSature,fibres,sel,CodeCIQUAL,ChangementClimatique,provenanceISO
LEGUMES,Crosne,50.8,2.13,9.11,0.2,0.5,0.01,1.9,0.013,20590,,FR
LEGUMES,Gombo,22.4,1.87,2.01,2.01,0.21,0.045,2.5,0.015,58103,1.8531564,FR
LEGUMES,Oignon séché,358.0,8.95,75.0,37.4,0.46,0.078,9.2,0.053,20180,2.8647697,FR
LEGUMES,Tomate séchée,202.0,14.2,43.3,37.6,2.99,0.46,12.3,0.62,20189,6.4659658,ES
LEGUMES,Tapioca,354.0,0.19,87.8,3.35,0.02,0.005,0.9,0.0025,4000,1.0876336,NG
LEGUMES,Pomme de terre,91.9,1.96,20.1,1.7,0.1,0.026,1.5,0.0036,4003,0.94561741,FR
LEGUMES,Chips de pommes de terre,545.0,5.67,51.1,1.59,34.3,3.23,4.57,1.65,4004,2.2443641,FR
LEGUMES,Pomme de terre dauphine cuite,302.0,4.5,30.2,3.5,17.7,3.39,2.0,1.32,4021,3.6820528,FR
LEGUMES,Frites de pommes de terres cuites en friteuse,285.0,3.28,39.4,0.69,11.9,2.94,3.9,0.073,4032,1.2629086,FR
LEGUMES,Pomme de terre noisette,191.0,2.81,28.5,0.2,6.6,0.94,3.4,0.87,4013,4.3990612,FR
LEGUMES,Galette de pomme de terre,182.0,2.38,22.5,0.2,8.3,1.06,3.3,0.82,4039,1.0295079,FR
LEGUMES,Patate douce,62.8,1.69,12.2,6.11,0.15,0.042,2.9,0.079,4101,0.36252883,US
LEGUMES,Topinambour,81.9,1.8,16.0,9.6,0.7,0.0,2.2,0.09,20196,0.85581834,FR
LEGUMES,Manioc,132.0,0.69,32.0,0.0,0.043,0.0,0.4,0.0,54031,0.92839408,NG
LEGUMINEUSES,Haricot blanc,112.0,6.75,12.0,0.3,1.1,0.25,13.8,0.023,20501,0.23407208,FR
LEGUMINEUSES,Haricot rouge,116.0,9.63,12.3,0.5,0.6,0.19,11.6,0.021,20525,0.42380393,FR
LEGUMINEUSES,Pois cassé,81.0,8.6,16.3,3.85,1.49,0.16,7.95,0.011,20515,0.89230343,FR
LEGUMINEUSES,Pois chiche,147.0,8.31,17.7,0.3,3.0,0.46,8.2,0.027,20516,0.79102138,FR
LEGUMINEUSES,Haricot flageolet,112.0,6.75,12.0,0.3,1.1,0.25,13.8,0.023,20537,0.48661806,FR
LEGUMINEUSES,Haricot mungo,95.0,7.54,11.9,2.01,0.55,0.038,6.4,0.018,20530,0.65819575,FR
LEGUMINEUSES,Pois chiche cru,139.0,6.74,15.0,0.5,2.68,0.3,5.45,0.54,20516,0.79102138,FR
LEGUMINEUSES,Pois chiche cuit,147.0,6.74,15.0,0.5,2.68,0.3,5.45,0.54,20507,0.83436648,FR
LEGUMINEUSES,Lentille verte,127.0,10.1,16.2,0.2,0.58,0.093,8.45,0.015,20587,0.32914795,CA
